from,to,time,connection
hr,cta,1798,2
ha,cgh,1797,2
ha,waa,1797,2
ha,bt,1797,2
ha,cgh,1797,2
maa,bng,1796,2
maa,cgh,1796,2
maa,cta,1797,2
maa,kge,1797,2
maa,pag,1797,2
maa,cgh,1797,2
maa,sha,1798,2
pw,cgh,1796,2
pw,pj,1796,2
pw,waa,1796,2
radl,ango,1796,2
sy,bob,1796,2
sy,ch,1796,2
gh,bmb,1796,2
gh,mrs,1796,2
et,mrs,1797,2
et,ch,1797,2
et,pag,1798,2
et,mlc,1798,2
et,waa,1798,2
et,sha,1798,2
qu,sag,1795,2
qu,mrs,1795,2
qu,sha,1795,2
qu,sha,1796,2
qu,cgh,1796,2
qu,bc,1796,2
qu,mrs,1797,2
qu,bc,1797,2
qu,dh,1797,2
qu,sag,1797,2
qu,bc,1798,2
mal,bmb,1996,2
mal,cgh,1996,2
mal,tcy,1996,2
mal,khi,1996,2
mal,sha,1996,2
loa,ks,1798,2
jj,bmb,1798,2
oc,cgh,1796,2
oc,dh,1796,2
oc,cta,1796,2
oc,kge,1796,2
oc,tm,1796,2
oc,sha,1796,2
op,bng,1798,2
op,mrs,1798,2
sc,mrs,1798,2
sc,cgh,1798,2
th,sha,1796,2
th,ch,1796,2
th,cgh,1796,2
wa,mrs,1798,2
wa,bng,1798,2
wa,dh,1798,2
dc,cgh,1798,2
dc,mrs,1798,2
dc,sha,1798,2
ld,bng,1798,2
cc,bng,1797,2
cc,cta,1797,2
cc,mrs,1797,2
as,mrs,1796,2
as,bng,1796,2
as,bmb,1796,2
as,kge,1796,2
asi,cgh,1796,2
asi,sha,1796,2
asi,bng,1796,2
asi,roo,1796,2
asi,tm,1796,2
asi,sha,1796,2
gan,sha,1797,2
gan,bc,1797,2
gan,waa,1798,2
gan,cgh,1798,2
gan,sha,1798,2
gan,bmb,1800,2
gan,anjo,1800,2
gan,pag,1800,2
gan,colo,1800,2
gan,sha,1800,2
gan,waa,1805,2
gan,mrs,1805,2
gan,bng,1805,2
gan,ch,1805,2
gan,bmb,1805,2
wld,bng,1800,2
mdw,cta,1801,2
miv,mrs,1795,2
miv,bng,1795,2
miv,dh,1795,2
miv,cb,1795,2
stca,kge,1802,2
stca,sag,1802,2
stca,sha,1802,2
yns,cgh,1799,2
yns,cgh,1801,2
tts,mrs,1796,2
tts,dh,1796,2
tts,cgh,1797,2
tts,bng,1797,2
tts,pdg,1797,2
tts,colo,1797,2
tts,tm,1797,2
tts,dh,1798,2
tts,cta,1798,2
min,rdj,1801,2
min,pj,1801,2
min,waa,1802,2
min ,mac,1802,2
nil,rdj,1801,2
nil,pj,1801,2
nil,waa,1802,2
nil,aba,1802,2
nil,cgh,1802,2
nil,sha,1802,2
pers,rdj,1802,2
pers,cgh,1802,2
pers,pj,1802,2
ruby,sulu,1800,2
ruby,mnd,1800,2
ruby,amu,1800,2
ruby,aba,1800,2
mwl,mrs,1800,2
mwl,pag,1800,2
mwl,mlc,1800,2
mwl,waa,1800,2
mwl,sha,1800,2
mwle,mrs,1802,2
mwl,dh,1802,2
mwl,kge,1802,2
mwl,pag,1802,2
mwl,mrs,1802,2
mwl,mrs,1803,2
mwl,sha,1803,2
mwl,mrs,1804,2
mwl,dh,1804,2
mwl,sag,1804,2
mwl,mrs,1804,2
mwl,pag,1804,2
mwl,ache,1804,2
mwl,mrs,1804,2
mwl,vzg,1804,2
mwl,msp,1805,2
mcw,bmb,1803,2
mcw,bmb,1804,2
phx,mrs,1786,2
phx,dh,1786,2
phx,cta,1786,2
phx,sag,1786,2
phx,sha,1787,2
phx,cgh,1788,2
phx,sto,1791,2
phx,kge,1791,2
phx,cb,1792,2
phx,lr,1792,2
hln,cta,1801,2
hln,kge,1801,2
hln,bc,1801,2
hln,sha,1801,2
hln,bmb,1802,2
hln,bng,1802,2
hln,knk,1802,2
hln,bc,1802,2
eic,eom,1799,2
eom,kge,1800,2
eom,st,1800,2
eom,sha,1800,2
lbg,mrs,1800,2
lbg,dh,1800,2
lbg,kge,1800,2
lbg,sag,1800,2
lbg,sha,1800,2
lbg,mrs,1802,2
lbg,bng,1802,2
lbg,dh,1802,2
lbg,sag,1803,2
lbg,sha,1803,2
lbg,sha,1804,2
lbg,bng,1804,2
lbg,kge,1804,2
lbg,sag,1805,2
lbg,sha,1805,2
lln,mrs,1800,2
lln,pag,1800,2
lln,mlc,1800,2
lln,waa,1800,2
lln,sha,1801,2
lln,dh,1804,2
lln,sag,1805,2
lln,mrs,1805,2
lln,sha,1805,2
sad,cgh,1799,2
chn,mrs,1799,2
chn,dh,1799,2
chn,sag,1800,2
chn,sha,1800,2
chn,mrs,1801,2
chn,dh,1801,2
chn,sag,1801,2
chn,vzg,1802,2
chn,kkd,1802,2
chn,nsp,1802,2
chn,dh,1803,2
chn,sha,1804,2
chn,lr,1804,2
cen,kge,1800,2
cen,sag,1801,2
cen,vzg,1801,2
cen,cgh,1801,2
cen,sha,1801,2
cen,cgh,1802,2
cen,mrs,1803,2
cen,sha,1803,2
esv,mrs,1800,2
esv,waa,1800,2
esv,sha,1801,2
esv,bmb,1802,2
esv,anj,1802,2
esv,tcy,1803,2
esv,sha,1803,2
esv,bmb,1804,2
esv,cnn,1804,2
esv,svd,1804,2
esv,knk,1804,2
esv,bmb,1804,2
esv,tcy,1805,2
esv,anj,1805,2
esv,sha,1805,2
wlm,mrs,1800,2
wlm,pag,1800,2
wlm,mlc,1800,2
wlm,waa,1800,2
wlm,sha,1801,2
wlm,mrs,1802,2
wlm,dh,1802,2
wlm,sag,1802,2
wlm,sha,1803,2
wlm,colo,1804,2
wlm,pdg,1804,2
wlm,ccc,1804,2
wlm,srt,1804,2
wlm,bmb,1804,2
wlm,tcy,1805,2
wlm,anj,1805,2
wlm,pdg,1805,2
wlm,sha,1805,2
hhl,sha,1800,2
hhl,waa,1801,2
hhl,sha,1801,2
hhl,mrs,1803,2
hhl,dh,1803,2
hhl,sag,1804,2
hhl,bng,1804,2
hhl,pag,1804,2
hhl,sha,1804,2
arr,cgh,1801,2
arr,cta,1802,2
arr,sha,1802,2
arr,cta,1805,2
arr,mrs,1805,2
atm,mrs,1801,2
atm,bng,1801,2
atm,cta,1801,2
atm,kdg,1801,2
atm,cgh,1802,2
bnl,kdg,1800,2
bnl,sga,1801,2
bnl,sha,1801,2
bnl,mrs,1802,2
bnl,dh,1802,2
bnl,sag,1802,2
bnl,mrs,1802,2
bnl,colo,1802,2
bnl,sha,1803,2
bnl,mrs,1804,2
bnl,dh,1804,2
fsp,cta,1797,2
fsp,sag,1798,2
fsp,cgh,1798,2
fsp,sha,1798,2
fsp,pj,1800,2
fsp,mlc,1800,2
fsp,pag,1800,2
fsp,dh,1800,2
fsp,cta,1800,2
fsp,sag,1800,2
fsp,sha,1801,2
hped,waa,1798,2
hped,sha,1798,2
hped,pag,1799,2
hped,waa,1800,2
hped,sha,1800,2
hoe,mrs,1801,2
hoe,pag,1801,2
hoe,waa,1801,2
hoe,sha,1802,2
hoe,waa,1803,2
hoe,sha,1803,2
inc,cta,1801,2
inc,sha,1801,2
inc,dh,1801,2
whm,mrs,1800,2
whm,rdj,1803,2
whm,cgh,1802,2
exm,bmb,1803,2
exm,sha,1803,2
exm,mda,1804,2
exm,bmb,1804,2
exm,tcy,1805,2
exm,anj,1805,2
fam,bng,1802,2
fam,bc,1802,2
fam,cta,1802,2
fam,kge,1802,2
fam,pag,1803,2
fam,bc,1803,2
fam,sha,1803,2
fam,mrs,1804,2
fam,bng,1804,2
fame,mda,1804,2
fam,mrs,1804,2
fam,msp,1804,2
fam,cta,1804,2
fam,kge,1804,2
fam,mrs,1805,2
fam,sha,1805,2
mcw,sha,1803,2
mcw,sha,1804,2
uk,mrs,1802,2
uk,dh,1802,2
uk,sag,1803,2
uk,mrs,1803,2
uk,sha,1803,2
uk,ck,1803,2
uk,mrs,1805,2
uk,kge,1804,2
uk,dh,1805,2
uk,sag,1805,2
uk,sha,1805,2
ann,mda,1801,2
ann,mrs,1802,2
ann,cta,1802,2
ann,kge,1802,2
ann,sha,1802,2
ann,rdg,1803,2
ann,mra,1804,2
ann,bmb,1804,2
ann,sha,1804,2
ann,ck,1805,2
ann,mda,1805,2
ann,fdn,1805,2
mar,sag,1801,2
mar,sha,1801,2
dev,cgh,1802,2
dev,mrs,1803,2
dev,cta,1803,2
dev,kge,1803,2
dev,sag,1803,2
dev,sha,1804,2
dev,mda,1804,2
dev,con,1805,2
dev,bmb,1805,2
dev,mrs,1805,2
dsc,waa,1802,2
dsc,sha,1803,2
dsc,stc,1804,2
dsc,bmb,1804,2
dsc,mrs,1804,2
moe,mrs,1802,2
moe,msp,1802,2
moe,vzg,1802,2
moe,mrs,1802,2
moe ,bat,1802,2
moe,aba,1802,2
moe,tim,1803,2
moe,aba,1803,2
moe,sha,1803,2
moe,mrs,1804,2
moe,msp,1804,2
moe,dh,1804,2
moe,sag,1804,2
moe,mrs,1804,2
moe,sha,1805,2
per,mrs,1802,2
per,pag,1802,2
per,mlc,1802,2
per,waa,1802,2
per,sha,1803,2
per,rdg,1804,2
per,waa,1805,2
per,mlc,1805,2
per,sha,1805,2
toh,cgh,1802,2
toh,cta,1803,2
toh,sha,1803,2
toh,mda,1804,2
toh,dh,1804,2
toh,bc,1805,2
toh,sha,1805,2
an ,mrs,1802,2
an,cta,1802,2
an,kge,1802,2
an,sha,1802,2
an,rdg,1803,2
an,mrs,1804,2
an,bmb,1804,2
an,sha,1804,2
an,ck,1805,2
an,mda,1805,2
an,fdn,1805,2
atl,ck,1801,2
atl,rdj,1802,2
atl,cgh,1802,2
atl,cov,1802,2
atl,waa,1802,2
atl,sha,1803,2
nhp,mda,1801,2
nhp,bmb,1802,2
nhp,srt,1802,2
nhp,bmb,1802,2
nhp,cta,1802,2
nhp,sha,1803,2
nhp,rdj,1803,2
nhp,cta,1804,2
nhp,dh,1804,2
nhp,bng,1804,2
nhp,sha,1804,2
acl,mrs,1802,2
acl,pag,1802,2
acl,mlc,1802,2
acl,waa,1802,2
acl,sha,1803,2
acl,rdj,1804,2
acl,nfl,1804,2
acl,waa,1805,2
acl,mlc,1805,2
acl,sha,1805,2
bar,mda,1802,2
bar,mrs,1802,2
bar,dh,1802,2
bar,sag,1803,2
bar,mrs,1803,2
bar,sha,1803,2
bar,ck,1803,2
bar,mrs,1804,2
bel,kge,1805,2
bel,sha,1805,2
bel,lr,1805,2
harr,cta,1803,2
harr,kge,1803,2
harr,sag,1803,2
harr,sha,1804,2
harr,lr,1804,2
harr,mda,1804,2
harr,mrs,1805,2
harr,cta,1805,2
harr,dh,1805,2
harr,sha,1805,2
harr,sag,1805,2
swb,cgh,1802,2
swb,cta,1802,2
swb,bnl,1802,2
swb,kge,1803,2
swb,sha,1803,2
swb,bnl,1804,2
swb,mda,1804,2
swb,mrs,1804,2
swb,cta,1804,2
swb,kge,1804,2
swb,mrs,1805,2
swb,sha,1805,2
oce,bmb,1801,2
oce,waa,1801,2
oce,sha,1802,2
oce,cgh,1802,2
oce,mrs,1803,2
oce,bmb,1803,2
oce,mda,1805,2
oce,mrs,1805,2
oce,pag,1805,2
oce,mlc,1805,2
oce,waa,1805,2
tig,mda,1803,2
tig,sag,1803,2
tig,cta,1803,2
tig,bnl,1803,2
tig,dh,1804,2
tig,sha,1804,2
tig,mda,1805,2
tig,fdn,1805,2
loe,sha,1802,2
loe,cgh,1802,2
loe,ache,1803,2
loe,cta,1803,2
loe,kge,1803,2
loe,sha,1803,2
loe,ck,1803,2
loe,mda,1804,2
loe,cta,1804,2
loe,bng,1805,2
loe,sag,1805,2
loe,bc,1805,2
loe,sha,1805,2
cum,cgh,1803,2
cum,mrs,1803,2
cum,pag,1803,2
cum,mlc,1803,2
cum,waa,1803,2
cum,mlc,1804,2
cum,pag,1804,2
cum,sha,1804,2
cum,lr,1804,2
cum,mrs,1805,2
cum,pag,1805,2
cum,mlc,1805,2
cum,waa,1805,2
car,sha,1803,2
car,cta,1803,2
car,sag,1803,2
car,bc,1804,2
car,sha,1804,2
car,lr,1804,2
car,mda,1805,2
car,mrs,1805,2
car,dh,1805,2
car,sag,1805,2
wex,mda,1803,2
wex,pag,1803,2
wex,waa,1803,2
wex,mlc,1804,2
wex,pag,1804,2
wex,sha,1804,2
wex,bmb,1805,2
wex,pag,1805,2
wex,mlc,1805,2
wex,waa,1805,2
loc,rdj,1803,2
loc,mda,1803,2
loc,msp,1803,2
loc,dh,1803,2
loc,sag,1804,2
loc,bc,1804,2
loc,bng,1804,2
loc,kge,1804,2
loc,sag,1804,2
loc,cta,1804,2
loc,sag,1805,2
loc,mda,1805,2
war,waa,1803,2
war,mlc,1804,2
war,pag,1804,2
war,sha,1804,2
war,sha,1805,2
war,bc,1805,2
cly,sha,1802,2
alt,sag,1802,2
alt,sha,1802,2
cul,bng,1802,2
cul,bc,1802,2
adm,mda,1802,2
adm,sha,1803,2
adm,cey,1803,2
adm,mda,1803,2
adm,bng,1803,2
gra,bng,1803,2
gra,rdj,1803,2
eur,mrs,1803,2
eur,sag,1804,2
eur,sha,1804,2
eur,ck,1804,2
eur,mda,1805,2
laca,mda,1803,2
laca,bng,1803,2
laca,sag,1804,2
laca,sha,1804,2
laca,sha,1805,2
laca,bng,1805,2
swp,sag,1804,2
swp,sha,1804,2
swp,mda,1805,2
hdt,sha,1803,2
hdt,bb,1803,2
hdt,sha,1804,2
hdt,mda,1804,2
hdt,mrs,1805,2
hdt,bng,1805,2
hdt,sag,1805,2
hdt,sha,1805,2
unn,mrs,1803,2
unn,sha,1804,2
unn,mda,1804,2
unn,sha,1804,2
unn,bng,1805,2
unn,sag,1805,2
unn,sha,1805,2
unn,ck,1805,2
esx,mrs,1804,2
esx,tcy,1804,2
esx,bb,1804,2
esx,sha,1804,2
wcs,bb,1804,2
wcs,mlc,1804,2
wcs,waa,1804,2
wcs,pag,1805,2
wcs,sha,1805,2
cyl,bb,1803,2
cyl,tcy,1803,2
cyl,bng,1803,2
cyl,sag,1803,2
cyl,mrs,1804,2
cyl,sha,1804,2
cyl,mrs,1805,2
cyl,bng,1805,2
cyl,sag,1805,2
axd,fcl,1804,2
axd,bng,1804,2
axd,sag,1805,2
axd,mrs,1805,2
axd,sha,1805,2
epht,mrs,1804,2
epht,cta,1804,2
epht,sag,1804,2
epht,mrs,1804,2
epht,sha,1804,2
epht,ck,1805,2
epht,fcl,1805,2
epht,sha,1805,2
mra,kge,1804,2
mra,mlc,1804,2
mra,sha,1804,2
dvsh,mrs,1805,2
dvsh,dh,1805,2
dvsh,sag,1805,2
srry,mrs,1805,2
srry,dh,1805,2
srry,sag,1805,2
lkh,mda,1804,2
lkh,mrs,1804,2
lkh,dh,1805,2
lkh,sag,1805,2
lkh,sha,1805,2
phex,sha,1805,2
phex,dh,1805,2
phex,sag,1805,2
hpe,bng,1805,2
hpe,sha,1805,2
jdg,ck,1805,2
jdg,mda,1805,2
unn,mda,1804,2
unn,sha,1804,2
unn,sag,1805,2
unn,sha,1805,2
rtt,bb,1805,2
ntl,mda,1805,2
ntl,sha,1805,2
wpt,ck,1805,2
wpt,mda,1805,2
shm,mda,1805,2
hrm,mda,1805,2
hnd,cta,1801,2
hnd,sha,1801,2
ntw,sha,1801,2
ntw,cgh,1801,2
ntw,mrs,1801,2
ntw,cta,1801,2
ntw,sag,1801,2
ntw,sha,1802,2
pnc,mrs,1802,2
pnc,pag,1802,2
pnc,mlc,1802,2
pnc,waa,1802,2
pnc,sha,1803,2
pnc,mlc,1805,2
pnc,sha,1805,2
pnc,waa,1805,2
seh,cta,1801,2
seh,dh,1801,2
seh,kge,1801,2
seh,cgh,1801,2
seh,sha,1802,2
jbw,cta,1801,2
jbw,sag,1801,2
jbw,cgh,1801,2
jbw,sha,1802,2
sfk,cgh,1801,2
sfk,cta,1801,2
sfk,dh,1801,2
eom,cta,1800,2
eom,kge,1800,2
eom,sha,1800,2
skc,sha,1800,2
skc,cta,1801,2
skc,kge,1801,2
skc,ang,1801,2
skc,bb,1801,2
skc,sha,1801,2
skc,sha,1802,2
skc,cgh,1802,2
skc,mrs,1803,2
skc,mad,1805,2
skc,coc,1805,2
skc,bb,1805,2
trv,cta,1801,2
trv,bng,1801,2
trv,ang,1801,2
trv,bb,1801,2
trv,sha,1801,2
trv,cgh,1802,2
trv,co,1802,2
trv,bb,1802,2
trv,tc,1803,2
trv,cal,1803,2
trv,sha,1803,2
mnr,mad,1801,2
mnr,mrs,1802,2
mnr,sha,1802,2
mnr,cc,1804,2
mnr,mad,1804,2
mnr,mrs,1804,2
mnr,sha,1805,2
mnr,sag,1805,2
sov,coc,1801,2
sov,bb,1802,2
sov,sur,1802,2
sov,ang,1802,2
sov,cal,1802,2
sov,mad,1802,2
sov,sah,1802,2
sov,mad,1804,2
sov,cal,1804,2
sov,keg,1804,2
col,cal,1801,2
col,keg,1801,2
col,co,1801,2
col,sha,1801,2
col,dh,1803,2
col,sag,1803,2
dor,waa,1801,2
dor,sha,1801,2
dor,waa,1803,2
dor,pag,1803,2
ljd,ache,1800,2
ljd,keg,1800,2
ljd,sha,1801,2
ljd,sag,1801,2
cmt,cal,1794,2
cmt,keg,1795,2
cmt,sag,1795,2
cmt,sha,1796,2
lm,sag,1801,2
lm,sha,1801,2
