from,to,time,,,,,,,
gan,mrs,1805,,,,,,,
gan,bng,1805,,,,,,,
gan,ch,1805,,,,,,,
gan,bmb,1805,,,,,,,
wld,bng,1800,,,,,,,
mdw,cta,1801,,,,,,,
miv,mrs,1795,,,,,,,
miv,bng,1795,,,,,,,
miv,dh,1795,,,,,,,
miv,cb,1795,,,,,,,
stca,kge,1802,,,,,,,
stca,sag,1802,,,,,,,
stca,sha,1802,,,,,,,
yns,cgh,1799,,,,,,,
yns,cgh,1801,,,,,,,
tts,mrs,1796,,,,,,,
tts,dh,1796,,,,,,,
tts,cgh,1797,,,,,,,
tts,bng,1797,,,,,,,
tts,pdg,1797,,,,,,,
tts,colo,1797,,,,,,,
tts,tm,1797,,,,,,,
tts,dh,1798,,,,,,,
tts,cta,1798,,,,,,,
min,rdj,1801,,,,,,,
min,pj,1801,,,,,,,
min,waa,1802,,,,,,,
min,mac,1802,,,,,,,
nil,rdj,1801,,,,,,,
nil,pj,1801,,,,,,,
nil,waa,1802,,,,,,,
nil,aba,1802,,,,,,,
nil,cgh,1802,,,,,,,
nil,sha,1802,,,,,,,
pers,rdj,1802,,,,,,,
pers,cgh,1802,,,,,,,
pers,pj,1802,,,,,,,
ruby,sulu,1800,,,,,,,
ruby,mnd,1800,,,,,,,
ruby,amu,1800,,,,,,,
ruby,aba,1800,,,,,,,
mwl,mrs,1800,,,,,,,
mwl,pag,1800,,,,,,,
mwl,mlc,1800,,,,,,,
mwl,waa,1800,,,,,,,
mwl,sha,1800,,,,,,,
mwle,mrs,1802,,,,,,,
mwl,dh,1802,,,,,,,
mwl,kge,1802,,,,,,,
mwl,pag,1802,,,,,,,
mwl,mrs,1802,,,,,,,
mwl,mrs,1803,,,,,,,
mwl,sha,1803,,,,,,,
mwl,mrs,1804,,,,,,,
mwl,dh,1804,,,,,,,
mwl,sag,1804,,,,,,,
mwl,mrs,1804,,,,,,,
mwl,pag,1804,,,,,,,
mwl,ache,1804,,,,,,,
mwl,mrs,1804,,,,,,,
mwl,vzg,1804,,,,,,,
mwl,msp,1805,,,,,,,
mcw,bmb,1803,,,,,,,
mcw,bmb,1804,,,,,,,
