from,to,time,connection
jf,ec,1783,
jf,dm,1784,
jf,al,1790,
jf,ef,1786,
doa,md,1763,
doa,ma,1764,
doa,bo,1765,
bl,md,1780,
ef,md,1786,
ef,ma,1787,
ef,bo,1789,
do,ca,1787,
ab,ca,1786,
al,mg,1791,
